,Game ID,Game Event ID,Player ID,Player Name,Team ID,Team Name,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Shot Zone Basic,Shot Zone Area,Shot Zone Range,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Home Team,Away Team,Season Type
92746,29700062,24,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,9,23,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971107,LAL,NYK,Regular Season
92747,29700062,34,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,8,20,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,55,1,19971107,LAL,NYK,Regular Season
92748,29700062,50,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,6,23,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-100,-8,0,19971107,LAL,NYK,Regular Season
92749,29700062,150,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,9,7,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19971107,LAL,NYK,Regular Season
92750,29700062,151,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,9,3,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19971107,LAL,NYK,Regular Season
92751,29700062,156,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,8,33,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971107,LAL,NYK,Regular Season
92752,29700062,181,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,6,23,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-40,76,1,19971107,LAL,NYK,Regular Season
92753,29700062,194,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,5,29,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971107,LAL,NYK,Regular Season
92754,29700062,207,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,4,2,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-94,-16,0,19971107,LAL,NYK,Regular Season
92755,29700062,311,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,6,42,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971107,LAL,NYK,Regular Season
92756,29700062,490,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,4,3,55,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,25,0,19971107,LAL,NYK,Regular Season
92757,29700062,493,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,4,3,7,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,66,14,1,19971107,LAL,NYK,Regular Season
92758,29700076,6,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,11,41,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
92759,29700076,17,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,10,6,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,102,31,1,19971109,LAL,GSW,Regular Season
92760,29700076,19,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,9,40,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
92761,29700076,56,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,6,9,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
92762,29700076,63,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,1,5,32,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,-10,0,19971109,LAL,GSW,Regular Season
92763,29700076,190,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,8,32,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-134,23,0,19971109,LAL,GSW,Regular Season
92764,29700076,222,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,6,6,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,51,0,19971109,LAL,GSW,Regular Season
92765,29700076,244,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,4,42,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-27,51,0,19971109,LAL,GSW,Regular Season
92766,29700076,276,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,2,5,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19971109,LAL,GSW,Regular Season
92767,29700076,278,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,2,2,0,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,19971109,LAL,GSW,Regular Season
92768,29700076,321,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,11,26,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
92769,29700076,341,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,9,33,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
92770,29700076,354,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,8,33,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
92771,29700076,404,406,Shaquille O'Neal,1610612747,Los Angeles Lakers,3,4,11,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,19971109,LAL,GSW,Regular Season
